labels,samples
2,"[-0.30085005437425094, -0.29904829892692, -0.07515784174306428, -0.9726758137384615, -1.040163121223639, 0.7339565130613372, -0.4704108115090658, 1.5032186830650656, -1.560111662606031, -1.3488258409047487]"
2,"[-1.0115163885044747, -0.43947346258916, 0.40545162347213937, -1.0402835199574076, 1.725796225757404, 1.7778864739848963, 0.698710157909505, 2.166906725230836, -0.1933477970108619, -0.9512048048792929]"
1,"[-0.8403861018379144, 1.518185269251935, 0.5891279054676697, 0.02145675561207848, 0.5437341178282873, -1.0342390159471082, -0.02726787831172334, 0.07051539652829307, -0.024896114352749247, 1.2500674294479495]"
2,"[0.4002382894372995, -0.2985241867713767, 0.3633919284268708, -0.62102532091522, -1.0585916662080737, 1.1366726551232225, 0.03420127839579272, -0.998055112840676, 0.27613505431488383, 0.5094455238393665]"
2,"[0.23091252218719277, 0.8949084895958084, 1.1506740553422834, -0.2583762507158093, 1.5346757237005408, 0.13880509392234622, 1.5439020177354512, 2.1637025246018875, 0.41525397747460857, 0.1467951316393431]"
2,"[-0.3540701535111445, -1.397205415292003, -0.018465127709933426, -1.1808796289058836, -0.1004028569785104, -0.45697062230453006, -0.7418141628890436, -0.19154301967998538, -0.14397182134644929, -0.28409761228641073]"
1,"[-0.15267805588658379, -0.7767239004654409, 0.15593722858873502, 0.23489992477649257, -0.45625836935281844, -0.5840165974292945, 0.7885933730107102, 1.403927984068767, 1.4782416875539064, -0.029185275354578828]"
1,"[-1.5377880993331021, 0.26548994016664806, 0.514003490224063, 0.9501695234061267, 1.1991861505205557, -0.45044433994332933, -0.22566077752232647, -0.4164714184166272, 1.5918182060500727, 0.3664710962018341]"
2,"[0.4638918472295279, -0.7745113441814806, -0.7403804068252396, -0.5890126937357053, 1.563029482137256, -0.1727049873583549, 0.29342918615678615, 0.6697627282588592, 1.88799010296025, -1.8323337958332315]"
2,"[0.8782385972739297, -2.135441801537304, 0.766778658694548, -0.9088587007521878, -1.0242911676965702, -0.9419118511572092, 0.9187123339418498, -0.2671214180066433, -1.4636234807369055, -0.04636649637047537]"
2,"[1.3871201931399357, -1.5973099171127771, 2.01698971760307, -1.434852763842853, -0.9666860186892149, -0.7863799183092067, 0.25258441689861355, 0.8282287909262827, -1.923306903071794, 1.0202295065258051]"
2,"[2.73117996287146, 0.18508050134662404, 0.254797219394241, -0.5566718808568224, -1.6458667617043943, 1.2817422996588503, 1.016265626277895, -3.2854469967448083, 0.47470685002837626, 0.4236929081715277]"
2,"[0.3312667905463004, -0.11153116978586168, -0.7307761195415992, -0.8572444808058409, -0.801084248725253, -1.3816031771455068, -1.2577866502077693, 0.8539140766131791, 1.616352101931268, 1.423042321900118]"
2,"[0.6225786806709043, 0.27647784842137213, 1.5524051694733378, -1.3619921502352008, 0.8220082343419921, 0.061100848928427626, -0.3018640802387513, -0.69585906769121, 2.361995373871475, -0.9229128690780188]"
1,"[-0.22757883531789158, 0.018212088991971423, 1.2272455876230761, 0.8592717656752378, 0.33669739226241013, -0.3595782529409612, 0.4718750606088585, 0.7134632823775877, 1.3925440377226708, 0.2255860431803052]"
2,"[0.8018374423413429, -0.08102415293090293, 0.4859122827903698, -1.1294837153760782, 0.49779061406505687, -2.1589259030868715, -0.23945023372505733, -1.965771330053806, -0.22306860202043305, -0.22307501876088334]"
2,"[-0.5382623532705344, 0.3843711644165542, -0.08299512296024593, -0.7629641837428216, -0.2733190764594791, -0.7606795195534702, -1.7899625776807568, 0.9650507924824732, -0.7657200453400808, -0.6659706346771954]"
1,"[-0.7851733005945764, 0.9435890683162736, 0.7433877254796627, 1.0030524376268746, -1.025102007365892, 0.3023476589337017, 0.25295726787530715, 1.3509259253412085, -1.0217164335079898, 0.9018795770600789]"
1,"[0.6627582279932914, -0.6607692403635685, -0.14494315676000002, 1.2200950003908482, 0.1837317896451417, 1.4084533601384122, 1.6910877045054347, 1.722736826533536, 1.6947618679931045, -0.4390240685468943]"
2,"[0.31130620175877627, -0.3011566838507724, -1.3731180505746339, -1.4584690648553478, 0.5540472761223548, -0.3167557223842574, -0.8782273709011323, 0.46552381852956987, -0.24480017451347932, -0.01540768204188725]"
1,"[-0.9143296925595926, 0.7174178538651441, -0.8430076621808414, 0.1865694980226433, 0.04886561964652724, -0.29972465498833, 1.6318636935713242, -1.6551705916669897, -0.32124104474944365, 0.9179882908121132]"
1,"[0.2452805248689325, 0.7424428528944199, -0.01762446695741018, 1.0707230703073514, 1.3492147893355826, -2.0766593314004482, -0.1871114034953351, -1.906031532559049, 0.41357483594864414, -1.3024566896471064]"
1,"[0.5742045401022094, -2.0725483428721048, 0.29936080773411455, 1.2259486134623212, -0.2918017939218211, -0.778058655341995, -0.46134279435891345, 0.9446572005603998, -0.06845447894976543, -0.8174138406021837]"
2,"[0.31210165507538656, 1.1918120575602633, -0.7555970328813881, -1.1364424139219722, -0.8479224721235972, -0.30290786185783974, -2.489918429698406, -0.007930771494735927, 0.8164940599048762, 0.20606314932801537]"
1,"[0.31924445966520437, -0.3308400958898773, -0.6421344887098553, 1.1012264305095358, -1.3723248732607831, 0.49288272542563905, -0.569432393001309, -0.5687550560248422, -0.6502391346254424, 2.0772554446060845]"
1,"[0.9187294089375992, 0.9866378828809007, -0.11847138753700004, -0.06983453452822973, -0.915130712214601, 0.005727619703765029, -2.248123063828861, 0.6928356074873654, 0.4122407375289297, -0.6029267774620816]"
1,"[-0.5679107903795375, -0.5832679186798927, -1.6129929322991505, 0.5344274614143965, 0.6682853820335468, -0.6962899024031239, -1.2706485014199658, 1.1483245830427797, 0.8242529223949729, -0.6188839204201175]"
2,"[-0.6965555288685243, 0.5546978489031253, -1.0951440046434633, -0.8994419978089615, -0.8270876206205071, -0.2458054207641396, 0.06413086043598852, 0.2587941038837858, 0.14150373926997753, -0.8676998497832156]"
2,"[1.0799612861106365, 0.3354431787158325, -1.6207654740699318, -1.7938627483669691, -0.44476331904075234, 1.9628676235961156, 0.06639510100334896, -1.436255389177085, -1.7231798537132161, -1.5849798531160424]"
1,"[0.5500907084863991, 1.3027860245069725, -0.3277302234182067, 0.42879039019418685, 0.613448854397087, -0.94734536065793, -0.392584451306495, 0.014466205830067231, 0.6233549013479494, 0.569615291821447]"
2,"[-1.1537184183026459, 0.6324650245787434, 0.7929153060773575, -0.8916037809507489, -1.5365635937806263, 1.3267129383477756, 0.7457054607993889, -0.36829187417141107, -0.2202417058294648, 0.8470819384855371]"
1,"[1.8333105059419916, -1.2016649211859607, -0.977395328299949, 0.08289621645189758, 0.35010653679386655, -0.4569129481813381, 0.4915969677965554, 1.24742274626441, 0.29807959109902804, -0.12381821279484384]"
1,"[0.8471253867941865, 2.1423051858539357, 1.7114947425969393, 1.4503380826348633, -0.8486471018280771, 0.04971881012514894, 0.5180040628466942, 0.1135815959367995, -1.4395370146403723, -1.4556420003942536]"
2,"[-1.52396938666539, 0.6748443211310098, -0.7876287780893664, -1.0154687118776038, 2.4415888263414636, -0.43659040845657565, 1.296305854460312, -0.6814168578987434, 1.7937482848154942, 0.3206938384878437]"
1,"[1.0755598455723083, 0.8751842936303611, 0.34410242955158926, 0.7570937136404037, 0.03726455437769637, -0.6163566031391704, -0.1484766053901255, -1.5846406840213638, 1.683082619586594, 0.07453615387265458]"
1,"[1.6377520717071496, -0.8492792527806562, -0.9553020401651193, 0.6695455798617677, 0.4333591503416226, 0.20055991428686823, 0.39662147264438913, -2.1117955282929453, 0.13997715389484766, -0.3704238946302688]"
1,"[0.9330709643223672, -1.045384008420617, -0.08331786814156573, 0.7212846846317679, 1.1908534914187971, 1.0369712971785279, -0.003344111464845767, 0.4619720401600361, -0.2758694120777426, 1.8394667701607825]"
2,"[-0.2749194968972308, 0.41932174085111945, -0.037350005045212256, -1.551271074122098, -0.6143359898852937, 0.35008260822895276, -0.36880942285463264, -1.2436618537766635, 0.5872697404082592, -1.6574700243090195]"
1,"[-0.5541744712139295, 1.2131802078024148, -2.1053059565525967, 1.1640076771290724, 0.1682040934776772, -2.0988537505621445, 0.1142546945669702, 2.020067796660996, 0.6700309403026251, -0.4826131428361353]"
1,"[1.1061390240939692, -0.784022406383007, 0.8343057094929275, 0.784397021248897, -0.6657346039238102, -1.4271202022646725, -0.5793446010420883, 0.517332155454187, 0.6146827496864132, -0.5216234361142723]"
1,"[-0.750504963079599, -0.9018391295468097, -1.3906662487518804, -0.18057155343065545, 0.9509119367722316, -0.3345770264505875, -1.0076488693583494, 1.092643237008788, 0.28897639152137555, -0.8147450434572242]"
2,"[1.3064233868569075, 0.2547733114955385, -0.6850367486090119, -1.304357320069472, 0.5334535795209165, 0.5259532700292803, 0.8208052854230655, 0.12105198399391874, 0.7993504344714926, -0.15053016696500796]"
2,"[0.4272999774617245, -0.6304401829154609, 1.9501614720055422, -0.6423419017836173, 1.5757396269537798, -0.9519714324339624, 0.8079323793301584, 0.2933107015508497, 0.6793808917752517, 1.163022624795833]"
1,"[-1.8984325956727415, -0.05987085611897411, -0.2921654181279932, 1.8882588180179627, 0.10264374521462673, 1.3682980048226578, 1.6766299305142907, 0.2714659978954891, 0.603306565848004, -0.24013440755628754]"
2,"[0.1890403478586169, 0.7877639052514024, -0.02660325694274062, -0.4822947395262788, -1.27880453640043, 0.9918246006398586, 0.7667971682060438, 0.10536031835847504, -0.1755355865674449, 0.0031866008699565638]"
2,"[2.028070435249034, 0.24051811193576073, 0.05307862491731994, -0.3384007999438867, 1.9299262775086863, 0.34634694396886695, -0.3109974216840116, 0.5274696706635494, -0.5896303164723979, 0.7461549758590468]"
2,"[-0.35503242823942244, -0.9949444528799949, -0.6961090980448504, -1.6896812146069367, -0.6133911752706098, -0.8065921689211984, 2.0228235698580486, -2.660014799659391, -0.4143545616980942, 1.2074184778050279]"
2,"[0.27847493417960234, -0.7945610756472653, 0.0071079056689193915, -1.3084620615600941, 0.5773822166058536, -0.19568964319045362, -1.214123891357551, -1.7710365941698398, -0.3573221102219973, -2.305766130196111]"
1,"[1.6505484946265327, -1.432439207611862, -0.682469067918689, 0.7709433437736204, -0.5286147423443007, -0.8006578051927578, 0.30696337511401783, 0.8391202356953978, 1.6685467828523761, 0.22107345447797258]"
2,"[-0.6981708483912573, 0.12637559945243362, 0.40860291123074866, -0.23201006333442023, -1.4119587395972222, -0.23880054436311743, -0.19675829439906029, 2.2274764532490305, 0.857134404167137, 0.721890218495781]"
2,"[0.44542146190598597, 0.457083858890266, -0.1787609490480843, -0.5028591071545317, -1.2024085275563998, -1.145898142100279, 0.710479585909664, 0.9695642363791646, -0.6550973825161139, 1.3009175122167729]"
1,"[1.2366279529448672, -0.8139510551656995, 0.4593100826238866, 0.7918218596598228, 0.7550621191440878, -0.6348183935209486, 1.1948682790382268, 0.956226573925583, -1.359636498540851, -0.6507799794685566]"
2,"[0.899036344730981, -1.3001187927896907, 1.5921866072357207, -1.2481252659461757, -1.0631654543427826, 0.9019703403601572, -0.6044050106238459, 0.8075423419574774, -0.733391451631344, -1.423876407345712]"
1,"[0.9335785489834779, 0.6813919251611308, 0.9041833734260522, 0.8032430124276561, 0.13296693534816395, -0.47235848310284656, -0.7403649685268003, 0.4145879726680537, -0.2841985683665969, 0.21001550167784752]"
1,"[-2.3852937651986204, -1.4991750702993778, 0.2156850732615568, 1.2852718089958903, -0.04406639245375761, 1.2000008660414914, 0.647002460869442, -1.356976250592071, 2.0133451849409867, 0.0380574765778203]"
2,"[-0.19837186462756998, -0.46898759616808944, 0.8288628357418795, -0.6585507901745334, -0.42785975843439555, 0.4514534802660475, -1.0170887324960398, -0.28243003878511597, 2.006078802374054, -0.2812014589504536]"
2,"[1.0979322244029053, 0.8122387492851079, 0.8276051767904828, -1.3649734123626465, 0.46011627692947876, -1.0774278277774174, -0.22211015083591532, -2.0473294842031793, -1.7418572315892185, 0.5316132321160465]"
1,"[0.36790850329685815, 0.9713333738917017, -0.5162381626267103, -0.3488654704964524, 0.45770006791486195, 1.7148496691627553, 0.018598821756524744, -1.0647089713383802, -0.7007567217541539, 0.9061187627479207]"
1,"[-0.29338683060958365, -0.7313030172216881, 1.1768659216646697, 1.1796487752170992, 0.08741487142529589, 0.6212531817303745, -1.7526583852174404, 1.3225491921936896, 0.16609087622394758, -2.053809423747248]"
1,"[0.8776903244636318, -3.115525021693318, 0.50094801921687, 1.3058545705128983, 0.13046568136823025, -0.9502553743123194, -0.22336839725861182, -1.3718308922808, 2.1500047800852444, -0.1678639180837257]"
1,"[0.3446287787393859, 0.2420231710656543, 0.534250752085798, 0.49138721387646783, 0.5084206522298939, -0.40973247993010853, 0.7689609098578535, 1.561500275403258, 0.4714468581877233, 1.312553928237031]"
2,"[0.2218767014564392, -0.9590129294710795, -0.9111954361527783, 0.11482703923142225, 2.2222013583124904, -0.6069344726976973, 0.1920006556371004, 0.31270310744464924, -0.8675999096944067, -0.6360478738772041]"
2,"[-1.4891067632380437, 0.6061563305598036, -0.15358777695582235, -1.1386143449441914, 0.6918381774281996, 0.07869853928904841, 0.3886287938906308, 1.102912487221871, 1.1583580597901857, 0.1278200031248577]"
1,"[0.29904075918628653, -0.28984541033237976, 0.17527718615018156, 1.5176292203473392, -0.7207371439925666, -0.08846838904289953, 0.05453723395750529, -0.05378671294356375, 0.003050329519933842, -0.23649478988267994]"
2,"[-0.26173348494938004, -0.051664106155466495, -2.659120502835771, -1.1313734454208173, -1.1306305768290241, -0.5442862093370605, 0.9422954094650101, -1.2580067823356136, 0.7421039948375137, 2.13508641767824]"
1,"[0.5158597685751846, 0.42248594591439964, -1.1925530702090539, 1.4649055584792348, -0.5070185636516966, -0.08647205491907797, -2.0469031301238125, -0.8314488402895251, 0.034972448115373055, -0.5949462873654181]"
2,"[1.608891967488649, 1.7732065248613056, -0.1132322526319769, 0.04348295334666131, -0.30456669371601464, -0.04055738189790449, 1.2044629105058655, -0.41113108403504584, -0.7998864799263211, 0.40766381705178373]"
1,"[0.7275968281305979, -1.668862620086953, 0.7057360250937176, 0.8513609413614128, -1.6619361826509316, -1.5258906796245135, -2.304632599053943, 1.2482699036729494, -2.262197593816005, 0.11048529269731718]"
1,"[0.48388905535132054, -1.342001105144775, -0.43296133739006115, 1.2742165978043438, -0.5103091048097416, -0.9980500213842078, 0.3312780827423882, 1.7449686284305976, -0.007279462465100038, -0.2476179756827537]"
1,"[0.023901391159875905, 0.919651357858125, 1.1019890395984766, 1.8819835976542334, -0.15732706376356886, -1.6434952996000742, -1.933625777460683, 0.006093939670555709, 0.7465281232117162, 0.43513650311840824]"
2,"[0.10240002018306428, -1.4385332321781794, 0.5035823434549582, -1.934859650470426, -0.5528088699774042, 0.3370199252393245, -1.9562541132861104, 0.22934930385995067, 0.24079219679368405, 1.1357063060673207]"
1,"[-1.8236437086516988, -1.3291066439764079, 0.3568884702156745, 0.7004903933940758, -1.688258764416005, -0.18826283504607944, -1.6068937531133456, 0.06235390637473391, 0.483417908627709, 0.663528747644631]"
1,"[0.029718779289919763, -1.7335823329090454, 0.4585998528148466, 1.2228114873301608, 0.009825903067780906, 1.8038327466342405, 0.5205878899655063, -0.6496028545003092, 0.29753694170344197, 1.7625743307800916]"
2,"[-0.03616754068895777, -0.567812578242204, 0.22450867898566268, -0.7810763555701912, -0.8685831561977165, -0.01344852034421592, -0.15897572709772181, 0.18536703950249744, 1.4157325726495265, -0.7647621758641892]"
1,"[-0.8007955154750123, -1.1007944910513923, 1.4014099312511548, 1.3056977384087756, -1.2449659602005443, -0.10669745927846437, 0.47928585064157747, -1.6624910044891044, 0.28539695324407566, 0.6765158704873562]"
1,"[-0.6441074873624585, -0.9258462875783636, 1.1222391576122586, 0.47999413599147145, 0.12812461482296858, -0.9050570746107941, -0.6250836674875868, -0.512938934948583, 0.13064665589111946, -1.0521097034028597]"
1,"[-0.6911816415646214, 1.0082339079732885, -0.7561206607566858, 1.7863252110836905, 0.2185000354658876, 0.40847614022077566, 0.40718591864709347, -0.49583567808096796, -1.2137856512755063, 0.7739960365136168]"
1,"[-0.6261538415335943, 1.6328855325591736, 0.3576701038258915, 1.754676589281646, 0.611946005009982, 1.7754661844642772, 2.044827807417905, 0.0754858595532754, 1.3113114709370028, -1.2812645984431883]"
2,"[1.3478846108786924, -0.9502972590087109, 1.6348061080822163, -1.8346390954389027, 0.12695612029950634, 1.0291650540131536, 0.1200524770050982, 0.5988903096035606, -0.11101866889939652, 0.4447881091843454]"
1,"[2.064770128612184, -0.12478263488626562, 1.6555332034878607, 0.4807085933546977, 0.842153988626111, 0.3191541007971971, 0.07072660426359018, -0.5217712602749329, 0.460489435864021, 0.9896419447116307]"
2,"[-0.30536237011911443, -0.5073118055044853, -0.8847312833352372, -0.3590706904076296, -1.0840684583180786, 0.24420101266220945, -0.8584371244508608, 0.7759218876798937, -0.17723213382873945, 0.007754829484010131]"
1,"[0.2556092115401102, 0.7227707426090265, 0.03969374437403072, 1.1949166709832784, 0.762406858648742, 0.5404264394703061, -0.5118294295750336, 0.571308039863093, 0.7072454263052048, -0.8043163972448395]"
1,"[-1.9267952872674283, -0.22632475326986368, 0.7299847559734086, 0.4047655512314462, 1.3036947628996487, 0.6801839937119334, -0.4651496932799793, 0.5426577032463089, 0.1555286664789174, -0.20819517961082354]"
2,"[-0.9322701147399709, -0.8993335913125456, -0.33413181220639054, -0.5504973428315425, -0.18132663647601607, 0.38251974930420457, -0.3387823568663525, 0.031427594232137424, -0.39628331295829367, 0.7253629164342258]"
1,"[-0.20586357009666822, -0.029069772195377167, 0.1171373550798646, 0.7454479618098762, -0.4293288228352788, 0.25979629793867265, -2.6643815321271984, -0.7581281772573953, -0.3274702502640582, 0.26711164419175765]"
2,"[-1.199988981558361, 2.2532259820022564, 0.05729525738948922, -1.2592874521223245, 0.6873156492725859, 1.1201930332911485, -0.637541513059269, -0.022966802150125906, 0.6562066909833737, -1.270723713098539]"
2,"[-2.532842217799993, -1.1116239720292853, -0.44545129029193264, -1.1977095530671378, 1.4456668475003152, 0.9510196525681524, 0.9136290987932884, 0.7148870337639486, 0.2612582699415522, -0.6265919668111128]"
1,"[-0.09964613943968112, -0.43090536822027775, 0.678181774244875, 1.8240922211453412, -0.14787950011649278, 0.32883930618656354, -0.11473710946139734, -0.9951346491428169, 1.1630606799296703, -2.0925290464520843]"
2,"[-0.355798382647872, -2.2222154593889254, -0.34568875543954997, -0.48632203306424754, 2.757646207446324, 0.2606239721978141, -1.5978589006053252, -0.5761160026942554, 0.2658032145962817, -0.2628709859648729]"
2,"[-1.2520169179240688, -0.46079061226959195, -1.3283212098175825, -0.5589948353867158, 0.0415348601361719, -1.2404098407844155, 0.9173133890373821, -0.10832601782991932, -0.09232388528806403, 0.10022356622009522]"
2,"[1.1730547542472833, 0.2737845847152468, -2.1773609603962774, -0.7222633484247253, 1.8067928177252146, -0.049395688320398874, -0.7701186774647822, -0.6843038811725815, 0.4475119243752407, 0.03040507009854577]"
2,"[0.7368320207923689, -0.8142190793943107, 0.9907723829866293, -0.6230476805788776, 1.5342813713613668, -2.1829810715915516, 1.6965297207825125, -2.3376024981697827, -0.27593391568514253, -0.5468455836826671]"
2,"[1.6314596494353448, -0.297426047016905, -1.466561825048198, -1.9639655591769238, 0.6450465540108512, 0.3094881201155612, -0.6243872100028196, 0.50711053251168, 0.9406737428174378, 1.3242267979925548]"
1,"[-0.18111195174234807, -0.8716012220387964, 0.27732273853886175, -0.18539656088095266, 0.413753373337289, 0.2444438510756495, 0.27468513341739886, -0.9756753624009747, -1.1011418754196776, 0.3001320131804888]"
1,"[2.871229589577627, -0.38842190030790347, 0.012104267649940933, 0.9354558645511225, -1.1884978507294792, -0.6732587025417825, 0.21115976889771262, 1.775817926263327, -1.940206848210556, -0.016730568908493695]"
1,"[-0.6039594733556914, -0.08294806773789737, 0.9290119031713, 0.42751104682629604, -1.195382997921565, -0.4547992421576872, -0.3285817169379422, -0.32781477425909833, 0.5594830197538995, -1.8630479864120122]"
1,"[-0.5676880227627374, 1.7442707593546425, -1.6055745533822068, 0.6828661436684218, -1.420110823772623, -1.2210758557676986, -0.34561628312380965, 0.53925184672705, 1.0291481193672194, 0.8487425020577604]"
2,"[1.0010883261149257, 0.1636298821110537, 1.1177026361108167, -0.5320395595154579, 1.687903451210909, -0.979368664603611, 2.5652875713159755, -0.7594384338713204, -0.15201736653610098, 1.10203264777028]"
2,"[0.5001541429889147, -1.0907245929076197, 1.0692870507101173, 0.06775368955907597, 0.3055126849802185, 0.747566594307928, 0.48299325563624795, -0.8215362879326694, 1.3227736595852786, -0.0001997592744384544]"
1,"[-1.147228658507283, 0.33733996556446544, 1.0466625182945313, 1.697670539681521, -0.5952719376600328, 0.3150855455453539, 1.121721148343703, -1.4603851884739003, -1.103716900381751, -1.19930125262531]"
1,"[0.424217850160792, -1.3445598141774275, 0.4622119331037177, 1.3317865653097252, 1.0313714639590696, -0.15032439207968823, 0.8222745795684189, -0.9430172416325485, 0.4699765854857203, -1.8899239823908707]"
1,"[-0.9951373740491561, 1.4813943321221286, -1.4347185858753269, -0.12050534160131923, -0.18950376814120223, -1.3140171993782563, -0.9908957001360242, -0.5477544697394735, 0.9560808901849459, -0.5461280206832316]"
2,"[2.097173153421162, 0.2020148580741792, -0.04841378602490953, -1.3101707570155063, -0.5768008701929397, -0.623636696408758, -0.3548541434412429, 0.7017378537003052, -0.3648721038881327, 0.18371988753676768]"
1,"[-1.3829523992122967, 0.9160455096327202, 0.005402782896813907, 1.066722399503107, -0.8278949652912541, -1.9852802482496883, -0.644288005260197, -0.3306298499539813, 0.7473554075732891, 0.3489905708332318]"
1,"[-0.3148874658438444, -0.9164090134235803, -1.6706872036501232, 0.8304083658704858, 0.08848434098914268, 0.2247172772905378, -0.2713154248787623, -0.7515687874183107, -1.0155947340057083, 0.34065801439860993]"
1,"[0.20890633669928077, -0.10706807807623497, -0.7252894514591627, 0.11522783238640279, -1.9048892610693315, -1.9136854130072318, -1.467183175682034, 0.3704993069614418, -0.3292077521967178, 0.3970327566777934]"
1,"[0.4812494116727991, -1.1487480404877703, -0.6365202458359827, 0.712666179650574, 0.6018891466113896, 0.5177969348178635, 0.8985713462763059, 1.130110698759185, 0.2285334397873593, -0.5276459769036524]"
2,"[0.95090152849994, 0.5852840793964995, 1.2919012535634602, -0.33738913606235377, -0.2266136630069723, 0.9675852796716529, -0.23185553067688028, -0.45987506210389395, 2.2329482282671846, -0.5336320639577672]"
1,"[-1.2287209181069216, -0.641832840308938, 0.5758334697392046, 1.526696439404218, 0.339865608470342, -1.893952768261784, 0.20332185847390258, 0.34919269012896914, 1.0053186438335018, 0.6129204106991467]"
2,"[0.6394001787486339, -2.2617832143366106, 0.5862555685589917, -1.6713565449594747, 0.12055037041191184, 1.6894386528497016, -1.0193670429115773, 0.5300668769292028, -1.2404174501973733, -1.036471050973985]"
1,"[-0.09808981773326966, -1.3055378737519752, -0.8422679188006482, 1.0414772712363738, 0.6428773248955104, -0.7599773118079395, -0.45781729240139, -2.102391675719686, 0.5462976633079419, 0.11712754698620986]"
2,"[-1.08317533964929, 0.7593989119886642, -1.4525714402709282, -0.7955571865175316, 1.0417958797077642, 0.045277902639364404, -0.27834733399985456, 0.47972586527679256, 1.1799309329316925, -0.6891331462030929]"
1,"[1.1102932841259852, 1.1295392865823743, -0.28116352044264925, 0.6022675114913022, 1.267437065186334, -1.1534666059858265, -1.1859560553069615, 0.24196445048543594, -1.3236148173417766, -0.07932163235925782]"
2,"[-0.2621006954957948, -3.0071358066192886, -0.012586214746364828, -2.0524619463258578, 0.3773418956866892, 0.15114330897854503, 1.6629982576089746, -0.09390306161491961, -0.5250867782679624, 1.3759239504518883]"
2,"[1.86781609086022, 1.4699257164452395, -1.0133047759371765, -1.0517390402542306, -0.7055373951913579, 1.1603949326361453, -0.32758175272821133, -0.9079716772582389, 0.5472764799535651, -1.4552851375121814]"
1,"[-1.2787897200892646, 1.2100659181825197, 0.27055556228865196, 1.2054510446932318, 0.3791406549531156, -0.24793329236190786, -0.21108039485421054, -0.839123924275502, -0.16822824932914704, 0.7941539928065835]"
1,"[0.3680783763197148, -0.6396962423083897, 0.7112769600650487, 0.09545440197462123, -0.022860488601990834, -0.04287446509281143, -1.2557203925040439, -0.49062606535692427, -0.9959620884201177, 0.684771682216156]"
1,"[-0.17804508249736078, -1.059739038867165, 0.28798856233333286, 1.9105647964815053, 0.7186255940037031, -0.5907219731204074, 2.3345712058967556, -1.058074593881793, 1.368567125372039, -0.8421975840385705]"
1,"[0.9389524362873809, -0.3596293704213887, 0.6881687859028239, 1.2928360537215922, -0.6542372236126944, 1.0329634515300448, 0.6601296292186928, 0.9266773992449541, -0.05396164462048061, 1.0179540259981832]"
1,"[0.8685731274345038, -1.2625020806073615, 0.7929905180812639, 0.5085530685323555, 0.9881237690964294, 0.11575365752655148, -0.3584620545095181, -0.8953352503629219, 1.6210076241986833, -0.4634979552335248]"
2,"[-0.23281641732201744, -1.4241879677966416, 2.0139174500510966, -0.2087785818366713, -1.1889434630477487, 0.01949554591909201, 0.05490405499926586, -0.9809244956261345, 0.7963740537300422, 1.439535718490085]"
1,"[0.5418686507393901, -0.9560277689329849, 0.1253516483672605, 0.6125821266356022, -0.07950218300226415, 0.6174224057583579, -0.7475667208151736, 0.06975538689144561, -0.034005457131106503, 0.5438962222828548]"
1,"[-1.6213961426904764, 0.9475182818053468, 0.723798330639438, 0.6147545417075256, 0.008499551108696312, -1.144604015721988, 1.0908237617467524, 0.8018828035284201, 0.35395712084263237, -0.6783226950792436]"
2,"[-0.5192192822471823, 0.595766322507366, -0.5362854938451499, -1.3568742927139332, -1.3485845129426233, 0.056568877037603084, -0.43946317545434, 0.022612495790889444, -0.1016574548921446, 0.6984821239112533]"
1,"[-0.7011929606721388, -0.6819257925305007, -0.3959437027585673, 1.6364905294830903, 0.8657434815057979, 0.9880778062858234, 1.1571309362488862, -0.8942692101789705, 0.1999235302385634, 1.090595767985159]"
2,"[-1.5474464487464203, 0.9969106981532168, -0.12053162521362555, -1.348626569806067, -0.18629768944871156, -0.07965031915485847, 0.5472663320876324, -1.742979065069797, -0.07463146725838961, 2.4537342734864063]"
1,"[-0.6207606273588273, 0.9161518512294972, 0.6674302658889916, 1.5046610447252575, 0.733936017759776, 0.5938124410116511, -0.06425951914767669, 0.0220288083897906, -0.13290791687719802, 0.15930547799714917]"
1,"[1.6699567417888403, -0.42868847146297956, 1.0056919692298818, 1.6201949961951434, 0.02269914781778903, 0.33045822894283045, -1.4547373899802178, -0.5814462036140122, 0.9659458466499872, 0.12683767089033632]"
1,"[0.7922462283741837, -0.9974868851376306, -1.1788406842310328, 1.343930888335458, 0.731934548576019, -1.340816441954809, -0.9039631331953917, -0.4040214472188835, 0.13075006643631606, 2.9730302033573253]"
2,"[-1.279527192793283, 1.9911557976922452, -0.06986824815187608, -0.6712793611930942, -0.3572572922276316, 0.15222393991835315, -0.2368774614869558, -1.9520333958581515, 0.40831113681145914, 0.42966940213741467]"
2,"[0.5494641109889158, 1.1379066340593817, -0.3366756916296546, -0.25500242427835235, 0.27895652081040534, 1.348274965807805, 0.3618237231349106, -0.772113367921571, -1.3383134488946704, 0.10656267892099106]"
2,"[-1.3069998311244992, 0.929694128043536, 0.49420274013235455, -0.6621753543587052, 0.08043069927359468, 1.1782071302619714, -0.012878443583154004, -0.8146202002373577, 0.9964171460123218, 0.7982790207445151]"
1,"[1.266362852370893, 0.6941214483426603, 0.6616865441223181, 0.3826701343891796, -0.20104658343378873, -1.4810161644742414, 0.27470322322219803, 0.9625762011048978, -0.9110896752168866, 0.5018171000806613]"
2,"[-0.1426280830373386, 0.0696065486669167, 0.0719206599718926, -1.7285915500696307, -0.29685963935912063, 1.589971026877943, 1.4820700599427965, 0.07691163763200122, -0.25317950027475566, -0.13246830044980415]"
